Formation;Nom anonymisé;Prénom anonymisé;Numéro;Genre;Date de naissance;Profil;Type établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Série;LV 1;LV 2
DUT RT;XXX2422;Yyy905;100252;M;17/03/2002;En Terminale;Lycée français;Lycée Antoine De Saint Exupery;Saint-Raphaël;83;France;S;Anglais;Espagnol
DUT GIM;XXX4025;Yyy321;100842;M;02/11/2002;En Terminale;Lycée français;Lycée Descartes;Tours;37;France;S;Anglais;Allemand
DUT RT;XXX7142;Yyy305;101368;M;09/12/2002;En Terminale;Lycée français;Lycée Boissy D'Anglas;Annonay;7;France;STI2D;Anglais;Allemand
DUT CS;XXX8268;Yyy469;101433;F;18/04/2001;En Terminale;Lycée français;Lycée Boissy D'Anglas;Annonay;7;France;ES;Anglais;Italien
DUT INFO;XXX1269;Yyy199;101587;M;24/03/2003;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX3397;Yyy362;101590;M;23/01/2003;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT INFO;XXX6915;Yyy852;101597;M;20/05/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX1658;Yyy439;101610;M;13/11/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT RT;XXX7761;Yyy525;101610;M;13/11/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT RT;XXX9056;Yyy389;101616;M;20/04/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT GIM;XXX6535;Yyy700;101644;M;26/09/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX1104;Yyy463;101645;M;22/08/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT INFO;XXX2828;Yyy610;101657;M;04/02/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX3495;Yyy631;101661;M;05/10/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT GIM;XXX7425;Yyy283;101670;M;26/07/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT RT;XXX2881;Yyy959;101704;M;10/10/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX6017;Yyy249;101742;M;16/01/2001;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX9224;Yyy863;101750;M;06/11/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX1376;Yyy362;101755;F;12/03/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT RT;XXX2708;Yyy352;101755;F;12/03/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT CS;XXX3611;Yyy847;101767;F;26/05/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;ES;Anglais;Espagnol
DUT RT;XXX6419;Yyy297;101782;F;08/02/2001;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;STMG;Anglais;Espagnol
DUT CS;XXX3633;Yyy436;101832;F;24/05/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;STMG;Anglais;Allemand
DUT INFO;XXX5579;Yyy937;101856;M;30/01/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX6247;Yyy834;101974;M;04/12/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT RT;XXX5113;Yyy180;101998;M;08/03/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT CS;XXX7381;Yyy639;102012;F;27/04/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;ES;Anglais;Espagnol
DUT RT;XXX9214;Yyy797;102192;M;06/02/2002;En Terminale;Lycée français;Lycée George Sand;Domont;95;France;S;Anglais;Allemand
DUT INFO;XXX9073;Yyy633;102558;M;30/08/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Espagnol
DUT RT;XXX1102;Yyy493;102669;M;04/02/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;ES;Anglais;Espagnol
DUT GIM;XXX8207;Yyy907;102716;M;08/11/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Espagnol
DUT GIM;XXX8764;Yyy136;102757;M;11/05/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Allemand
DUT INFO;XXX7235;Yyy263;102764;M;09/11/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Espagnol
DUT INFO;XXX6668;Yyy644;103465;M;28/10/2002;En Terminale;Lycée français;Lycée Stanislas;Nice;6;France;S;Anglais;Espagnol
DUT GIM;XXX2007;Yyy203;103944;F;05/01/2001;En Terminale;Lycée français;Lycée André Malraux;Montereau-Fault-Yonne;77;France;S;Anglais;Espagnol
DUT INFO;XXX3821;Yyy828;104845;M;13/02/2002;En Terminale;Lycée français;Lycée Carnot;Bruay-la-Buissière;62;France;STI2D;Anglais;Espagnol
DUT INFO;XXX1243;Yyy723;105530;M;02/11/2001;En Terminale;Lycée français;Lycée Jeanne Hachette;Beauvais;60;France;S;Anglais;Allemand
DUT INFO;XXX7996;Yyy709;106123;M;23/02/2002;En Terminale;Lycée français;Cite Technique Edouard Branly;Châtellerault;86;France;STI2D;Anglais;Espagnol
DUT RT;XXX7963;Yyy162;106123;M;23/02/2002;En Terminale;Lycée français;Cite Technique Edouard Branly;Châtellerault;86;France;STI2D;Anglais;Espagnol
DUT RT;XXX4881;Yyy366;106468;M;17/10/2002;En Terminale;Lycée français;Lycée Beauregard;Montbrison;42;France;S;Anglais;Espagnol
DUT RT;XXX2824;Yyy706;106556;M;21/04/2002;En Terminale;Lycée français;Lycée Beauregard;Montbrison;42;France;STI2D;Anglais;Italien
DUT RT;XXX8569;Yyy644;106697;M;14/05/2001;En Terminale;Lycée français;Lycée Beauregard;Montbrison;42;France;S;Anglais;Espagnol
DUT GIM;XXX3969;Yyy114;106930;M;13/11/2002;En Terminale;Lycée français;Lycée Saint-Sernin;Toulouse;31;France;S;Anglais;Espagnol
DUT INFO;XXX3629;Yyy176;107110;M;09/06/2002;En Terminale;Lycée français;Lycée Saint-Sernin;Toulouse;31;France;S;Anglais;Espagnol
DUT RT;XXX6843;Yyy147;107110;M;09/06/2002;En Terminale;Lycée français;Lycée Saint-Sernin;Toulouse;31;France;S;Anglais;Espagnol
DUT INFO;XXX9294;Yyy327;107161;M;05/12/2002;En Terminale;Lycée français;Lycée Saint-Sernin;Toulouse;31;France;S;Anglais;Allemand
DUT INFO;XXX5095;Yyy426;107169;F;14/09/2002;En Terminale;Lycée français;Lycée Saint-Sernin;Toulouse;31;France;S;Anglais;Espagnol
DUT INFO;XXX1440;Yyy636;107229;M;08/05/2002;En Terminale;Lycée français;Lycée Saint-Sernin;Toulouse;31;France;S;Anglais;Espagnol
DUT INFO;XXX5583;Yyy323;108406;M;24/05/2002;En Terminale;Lycée français;Lycée Blaise De Vigenere;Saint-Pourçain-sur-Sioule;3;France;S;Anglais;Espagnol
DUT INFO;XXX2427;Yyy122;109019;M;12/09/2002;En Terminale;Lycée français;Lycée Andre Boulloche;Livry-Gargan;93;France;S;Anglais;Allemand
DUT GIM;XXX8066;Yyy351;109516;M;07/12/2002;En Terminale;Lycée français;Maison Blanche;Saint-Paul;974;France;S;Espagnol;Anglais
DUT GIM;XXX1368;Yyy925;110345;M;26/02/2002;En Terminale;Lycée français;Lycée Français Albert Camus;Conakry;99;Guinée;S;Anglais;Espagnol
DUT RT;XXX8020;Yyy236;110777;M;19/03/2002;En Terminale;Lycée français;Lycée Joseph Desfontaines;Melle;79;France;S;Anglais;Allemand
DUT GIM;XXX3587;Yyy452;111619;M;12/03/2002;En Terminale;Lycée français;LYCEE POLYVALENT LAMA PREVOT;Remire-Montjoly;973;France;S;Anglais;Espagnol
DUT INFO;XXX5924;Yyy589;111619;M;12/03/2002;En Terminale;Lycée français;LYCEE POLYVALENT LAMA PREVOT;Remire-Montjoly;973;France;S;Anglais;Espagnol
DUT RT;XXX3885;Yyy251;111619;M;12/03/2002;En Terminale;Lycée français;LYCEE POLYVALENT LAMA PREVOT;Remire-Montjoly;973;France;S;Anglais;Espagnol
DUT GIM;XXX6271;Yyy716;113029;M;01/06/2002;En Terminale;Lycée français;Lycée professionnel Dr Philippe Tissie;Saverdun;9;France;P;Espagnol;
DUT INFO;XXX9888;Yyy785;114040;M;10/03/2002;En Terminale;Lycée français;Lycée Robert Doisneau;Corbeil-Essonnes;91;France;S;Anglais;Allemand
DUT INFO;XXX8677;Yyy753;114270;M;23/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7275;Yyy952;114273;M;14/04/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX1876;Yyy126;114273;M;14/04/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT GIM;XXX4834;Yyy582;114276;M;15/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT GIM;XXX6668;Yyy510;114277;M;15/08/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7449;Yyy580;114305;M;01/04/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7213;Yyy284;114307;M;22/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX3670;Yyy524;114307;M;22/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7744;Yyy118;114318;M;02/12/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Allemand
DUT GIM;XXX5186;Yyy826;114349;M;01/10/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX2892;Yyy319;114355;M;27/11/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX5196;Yyy413;114355;M;27/11/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT GIM;XXX9546;Yyy504;114359;M;11/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX5061;Yyy329;114359;M;11/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX7504;Yyy887;114379;M;12/10/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX9035;Yyy446;114379;M;12/10/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT GIM;XXX1166;Yyy519;114388;M;30/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX3156;Yyy759;114399;M;15/05/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT RT;XXX7743;Yyy555;114399;M;15/05/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX6164;Yyy315;114400;M;05/12/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX7079;Yyy442;114400;M;05/12/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT CS;XXX5543;Yyy372;114407;F;28/01/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX8271;Yyy550;114424;M;19/08/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT RT;XXX4797;Yyy212;114424;M;19/08/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT RT;XXX9922;Yyy555;114437;M;12/02/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7786;Yyy296;114479;M;19/03/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX8914;Yyy727;114479;M;19/03/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX3118;Yyy921;114484;M;19/02/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT GIM;XXX9248;Yyy974;114495;M;26/10/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT CS;XXX5561;Yyy151;114503;F;24/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;ES;Anglais;Espagnol
DUT GIM;XXX7528;Yyy738;114523;M;04/12/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX9235;Yyy900;114527;M;20/05/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX2296;Yyy302;114527;M;20/05/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX2489;Yyy282;114534;M;19/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX1608;Yyy499;114534;M;19/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT GIM;XXX9657;Yyy174;114537;M;07/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX6959;Yyy919;114538;M;17/01/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX3303;Yyy276;114538;M;17/01/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX8229;Yyy726;114566;M;15/05/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT RT;XXX1247;Yyy880;114571;M;28/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7964;Yyy391;114586;M;20/08/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT INFO;XXX5140;Yyy908;114597;M;30/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX2472;Yyy427;114597;M;30/03/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT CS;XXX1342;Yyy182;114610;M;16/12/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT GIM;XXX1237;Yyy861;114615;M;23/07/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX6984;Yyy619;114615;M;23/07/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX9269;Yyy254;114615;M;23/07/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT GIM;XXX2407;Yyy758;114616;M;26/04/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX8138;Yyy743;114630;M;17/09/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Allemand
DUT RT;XXX7834;Yyy807;114630;M;17/09/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Allemand
DUT INFO;XXX7350;Yyy641;114661;M;10/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT RT;XXX8492;Yyy830;114661;M;10/06/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT INFO;XXX5629;Yyy297;114669;M;16/04/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT GIM;XXX4745;Yyy127;114679;M;05/02/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Allemand
DUT RT;XXX8158;Yyy448;114689;M;27/11/2001;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;S;Anglais;Espagnol
DUT GIM;XXX5562;Yyy160;114703;M;18/09/2002;En Terminale;Lycée français;Lycée Pierre-Paul Riquet;Saint-Orens-de-Gameville;31;France;STI2D;Anglais;Espagnol
DUT GIM;XXX3433;Yyy382;114725;M;19/01/2003;En Terminale;Lycée français;Lycée Bristol;Cannes;6;France;ES;Anglais;Espagnol
DUT INFO;XXX8022;Yyy968;116071;M;24/11/2002;En Terminale;Lycée français;Lycée Joffre;Montpellier;34;France;S;Anglais;Allemand
DUT INFO;XXX4351;Yyy255;116232;F;05/01/2002;En Terminale;Lycée français;Lycée Joffre;Montpellier;34;France;S;Anglais;Espagnol
DUT INFO;XXX5392;Yyy606;116252;F;04/09/2002;En Terminale;Lycée français;Lycée Joffre;Montpellier;34;France;ES;Anglais;Espagnol
DUT INFO;XXX7700;Yyy831;116270;M;27/09/2002;En Terminale;Lycée français;Lycée Joffre;Montpellier;34;France;S;Anglais;Espagnol
DUT INFO;XXX6748;Yyy670;116317;M;14/05/1999;En Terminale;Lycée français;Lycée Joffre;Montpellier;34;France;S;Anglais;Espagnol
DUT INFO;XXX6166;Yyy634;116710;M;15/08/2002;En Terminale;Lycée français;Lycée Jean Jaurès;Saint-Clément-de-Rivière;34;France;S;Anglais;Espagnol
DUT INFO;XXX4938;Yyy821;116813;M;06/06/2002;En Terminale;Lycée français;Lycée Jean Jaurès;Saint-Clément-de-Rivière;34;France;S;Anglais;Espagnol
DUT RT;XXX4383;Yyy359;116914;M;14/03/2002;En Terminale;Lycée français;Lycée Jean Jaurès;Saint-Clément-de-Rivière;34;France;S;Anglais;Espagnol
DUT INFO;XXX2513;Yyy485;116921;M;14/07/2002;En Terminale;Lycée français;Lycée Jean Jaurès;Saint-Clément-de-Rivière;34;France;S;Anglais;Espagnol
DUT INFO;XXX2677;Yyy774;117096;M;30/08/2002;En Terminale;Lycée français;Lycée Jean Jaurès;Saint-Clément-de-Rivière;34;France;S;Anglais;Espagnol
DUT INFO;XXX5734;Yyy521;117452;M;19/07/2002;En Terminale;Lycée français;Lycée professionnel Charles Peguy;Eysines;33;France;P;Anglais;
DUT INFO;XXX6936;Yyy957;117633;F;17/03/2002;En Terminale;Lycée français;Lycée Sud Des Landes;Saint-Vincent-de-Tyrosse;40;France;S;Anglais;Espagnol
DUT RT;XXX5282;Yyy287;117718;M;11/12/2003;En Terminale;Lycée français;Lycée Sud Des Landes;Saint-Vincent-de-Tyrosse;40;France;S;Anglais;Espagnol
DUT INFO;XXX7063;Yyy425;117729;M;14/03/2001;En Terminale;Lycée français;Lycée Sud Des Landes;Saint-Vincent-de-Tyrosse;40;France;S;Anglais;Espagnol
DUT GIM;XXX2481;Yyy614;117824;M;02/03/2002;En Terminale;Lycée français;Lycée Sud Des Landes;Saint-Vincent-de-Tyrosse;40;France;S;Anglais;Espagnol
DUT INFO;XXX1552;Yyy114;117869;M;17/02/2002;En Terminale;Lycée français;Lycée Sud Des Landes;Saint-Vincent-de-Tyrosse;40;France;S;Espagnol;Anglais
DUT INFO;XXX9166;Yyy714;118165;M;24/08/2002;En Terminale;Lycée français;Lycée Hector Berlioz;La Côte-Saint-André;38;France;S;Anglais;Italien
DUT CS;XXX9400;Yyy537;119630;F;19/02/2000;En Terminale;Lycée français;Lycée Gustave Eiffel De Kahani;Kahani;976;France;P;Anglais;Espagnol
DUT INFO;XXX4392;Yyy446;119942;M;28/04/2002;En Terminale;Lycée français;Lycée Gustave Eiffel De Kahani;Kahani;976;France;STI2D;Anglais;Espagnol
DUT INFO;XXX3920;Yyy560;120014;M;21/03/2002;En Terminale;Lycée français;Lycée Gustave Eiffel De Kahani;Kahani;976;France;STI2D;Anglais;Espagnol
DUT RT;XXX8933;Yyy512;120014;M;21/03/2002;En Terminale;Lycée français;Lycée Gustave Eiffel De Kahani;Kahani;976;France;STI2D;Anglais;Espagnol
DUT INFO;XXX1973;Yyy992;121614;M;09/06/2003;En Terminale;Lycée français;Lycée Jean Monnet;Crépy-en-Valois;60;France;STI2D;Anglais;Allemand
DUT GIM;XXX8438;Yyy110;122216;M;06/01/2002;En Terminale;Lycée français;Lycée François René de Chateaubriand;Combourg;35;France;S;Anglais;Espagnol
DUT CS;XXX9594;Yyy960;122217;M;03/01/2002;En Terminale;Lycée français;Lycée François René de Chateaubriand;Combourg;35;France;ES;Anglais;Allemand
DUT GIM;XXX2394;Yyy355;122700;M;29/01/2001;En Terminale;Lycée français;Lycée franco-allemand Freiburg;Fribourg En Brisgau;99;Allemagne;S;Allemand;Anglais
DUT GIM;XXX2813;Yyy835;123250;M;20/08/2002;En Terminale;Lycée français;Lycée LA CONDAMINE;Quito;99;Equateur;S;Espagnol;Anglais
DUT GIM;XXX1224;Yyy296;124187;M;24/02/2002;En Terminale;Lycée français;Lycée Vauban;Brest;29;France;S;Anglais;Espagnol
DUT INFO;XXX7110;Yyy510;124735;M;25/01/2003;En Terminale;Lycée français;Lycée polyvalent Jean Moulin;Angers;49;France;S;Anglais;Espagnol
DUT RT;XXX6277;Yyy651;125767;M;09/06/2000;En Terminale;Lycée français;Lycée professionnel Edouard Branly;Amiens;80;France;P;Anglais;
DUT RT;XXX4609;Yyy978;125964;M;19/10/2002;En Terminale;Lycée français;Lycée Polyvalent Chevrollier;Angers;49;France;S;Anglais;Espagnol
DUT CS;XXX9220;Yyy384;126209;F;11/02/2002;En Terminale;Lycée français;Lycée Polyvalent Chevrollier;Angers;49;France;ST2S;Anglais;Espagnol
DUT GIM;XXX5802;Yyy833;128101;F;17/06/2002;En Terminale;Lycée français;Lycée Paul Langevin;La Seyne-sur-Mer;83;France;S;Anglais;Espagnol
DUT INFO;XXX7991;Yyy873;128106;M;19/01/2001;En Terminale;Lycée français;Lycée Paul Langevin;La Seyne-sur-Mer;83;France;S;Anglais;Italien
DUT GIM;XXX9637;Yyy471;128180;M;29/12/2002;En Terminale;Lycée français;Lycée Paul Langevin;La Seyne-sur-Mer;83;France;STI2D;Anglais;Italien
DUT RT;XXX4275;Yyy261;128432;M;07/07/2002;En Terminale;Lycée français;Lycée Paul Langevin;La Seyne-sur-Mer;83;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7638;Yyy343;128525;M;18/02/2002;En Terminale;Lycée français;Lycée Paul Langevin;La Seyne-sur-Mer;83;France;STI2D;Anglais;Espagnol
DUT GIM;XXX2253;Yyy834;128891;M;24/06/2002;En Terminale;Lycée français;Lycée Charles A. COULOMB;Angoulême;16;France;STI2D;Anglais;Espagnol
DUT GIM;XXX5473;Yyy963;128959;M;11/02/2001;En Terminale;Lycée français;Lycée Charles A. COULOMB;Angoulême;16;France;STI2D;Anglais;Espagnol
DUT INFO;XXX4386;Yyy711;129002;M;17/09/2002;En Terminale;Lycée français;Lycée Charles A. COULOMB;Angoulême;16;France;S;Anglais;Allemand
DUT CS;XXX1560;Yyy173;129464;F;21/10/2001;En Terminale;Lycée français;Lycée Emile Zola;Aix-en-Provence;13;France;P;Anglais;Espagnol
DUT RT;XXX9238;Yyy963;130859;M;05/04/2002;En Terminale;Lycée français;Lycée Napoleon;L'Aigle;61;France;S;Anglais;Espagnol
DUT INFO;XXX5609;Yyy893;131035;M;18/08/2001;En Terminale;Lycée français;Lycée Blaise Pascal;Libreville;99;Gabon;S;Anglais;Espagnol
DUT INFO;XXX6033;Yyy359;131636;M;05/03/2002;En Terminale;Lycée français;Lycée Descartes;Montigny-le-Bretonneux;78;France;S;Anglais;Espagnol
DUT INFO;XXX1630;Yyy551;132012;M;16/10/2002;En Terminale;Lycée français;Lycée Pablo Neruda;Dieppe;76;France;S;Anglais;Italien
DUT INFO;XXX6971;Yyy188;132265;M;31/08/2002;En Terminale;Lycée français;Groupe scolaire La Résidence;Casablanca;99;Maroc;ES;Arabe;Anglais
