Formation;Nom anonymisé;Prénom anonymisé;Numéro;Genre;Date de naissance;Profil;Type établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Série;LV 1;LV 2
DUT INFO;XXX9083;Yyy773;443746;M;07/09/2002;En Terminale;Lycée français;LGT PRIVE SAINT-FRANCOIS D'ASSISE;La Roche-sur-Yon;85;France;S;Anglais;Espagnol
DUT CS;XXX9344;Yyy646;444606;F;30/10/2002;En Terminale;Lycée français;Lycée de l'Arc;Orange;84;France;L;Anglais;Italien
DUT CS;XXX9425;Yyy406;444724;F;19/04/2001;En Terminale;Lycée français;Lycée de l'Arc;Orange;84;France;ES;Anglais;Espagnol
DUT GIM;XXX2067;Yyy517;445972;M;07/02/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT INFO;XXX3436;Yyy133;445981;M;11/11/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT GIM;XXX3648;Yyy617;445984;M;17/03/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT INFO;XXX3169;Yyy423;445988;F;13/08/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT GIM;XXX6687;Yyy283;445998;M;11/02/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT INFO;XXX4433;Yyy648;446003;M;31/08/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT GIM;XXX3905;Yyy606;446006;M;26/07/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT RT;XXX2108;Yyy692;446006;M;26/07/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT INFO;XXX5968;Yyy968;446029;M;13/12/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT INFO;XXX4809;Yyy191;446031;M;16/01/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT RT;XXX7178;Yyy166;446031;M;16/01/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT GIM;XXX6919;Yyy671;446037;M;27/03/2004;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Allemand
DUT GIM;XXX1215;Yyy942;446069;M;24/03/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
